True,Pred
92.24977335434208,92.24918622314156
92.24623161852121,92.24581474892999
92.24179828584515,92.24261565195008
92.23920508471637,92.23931233757237
92.2348170079624,92.23628442203757
92.23070892923042,92.23276099094942
92.2270016229629,92.2288873783666
92.21936293842339,92.22500006023013
92.21936293842339,92.21937048107708
92.21743330685133,92.21568175549301
92.21336008989674,92.21272972641293
92.21316545263835,92.20969049689761
92.20710713801206,92.2077606813584
92.20268999444635,92.20496566825189
92.19709647285721,92.20154857018389
92.19373732444555,92.19717870617905
92.18790096620135,92.19290008988702
92.18239179355643,92.18710696392611
92.17934226188,92.18121431173005
92.17390180097044,92.17627387356936
92.17170063386588,92.1708785765983
92.16697065413959,92.16739892969491
92.16222687687608,92.16349137517054
92.15929977534657,92.15945366387837
92.1575881448626,92.15581571323128
92.15177321879288,92.15331559948694
92.14821998502431,92.14969438985169
92.144222746508,92.14592527061741
92.14131744508731,92.14219046125903
92.13822661278279,92.13848600648254
92.13040773240719,92.13537944498559
92.1261761197253,92.1302975360766
92.12080069120783,92.12499210706463
92.11814816066902,92.11944466924982
92.11104638429455,92.11519383199939
92.10690169609714,92.10950041624079
92.10306358917677,92.10409095379819
92.09875949343268,92.09931608608414
92.09462087615165,92.09500371181772
92.08938517069444,92.09137137216909
92.08454812207931,92.08679196956567
92.08006235876182,92.0821819364296
92.07686160607744,92.07750677891786
92.07422158530571,92.07377748857438
92.07174501935823,92.07013273114225
92.06700161002905,92.06707942813897
92.06113498918654,92.06384022631754
92.0596390602011,92.05973766660045
92.05495957946104,92.05672134099692
92.05128621513508,92.05311273311231
92.0474724838638,92.04914952852114
92.04400966995583,92.04512083161997
92.03897191316594,92.04122698264922
92.03407047604378,92.03693852411398
92.02911734414884,92.03271224647982
92.02502848998539,92.02790573641374
92.02227707709649,92.02290348528629
92.01811132465893,92.01898737628883
92.0156851657141,92.01481334532895
92.01049839552223,92.01153615428836
