Model,MSE,MAE,R2
SVR,0.5074634136870345,0.6901040759175743,-98.21804107684312
RandomForest,0.032030933905461544,0.1640811895318471,-5.262612102163708
XGBoost,0.031159191618869663,0.1613832339005756,-5.092171121264076
CNN-BiLSTM,0.016408403542788698,0.11770112430911202,-2.208132079681042
Bi-GRU,0.0734350759984268,0.26431047884661063,-13.357851601468395
CNN-BiGRU,0.0213459292665895,0.12463801374091403,-3.173505379250903
LSTM_iTransformer_Improved,4.310980854505186e-05,0.005069231162645357,0.9915712726480894
