True,Pred
92.24977339197856,92.29557218566345
92.24623165935874,92.29598038258864
92.24179830038582,92.29594243167158
92.23920508826113,92.2956634145572
92.23481696843764,92.29625551028613
92.23070890069707,92.2957152072667
92.22700165941494,92.29638063968497
92.21936297897899,92.29590426458051
92.21936297897899,92.29616799868128
92.21743332903677,92.29608094170098
92.21336009682207,92.29597798707988
92.21316546146589,92.29620439716713
92.20710711776874,92.29557676800438
92.20268996618283,92.2956086933636
92.19709643273924,92.29582327609293
92.19373734390784,92.29599153378655
92.18790093267289,92.29593101300432
92.18239175876491,92.2953751784127
92.17934222412102,92.29497185491199
92.17390177195034,92.2945926138688
92.17170058786502,92.29470950970143
92.16697061990189,92.29464265890114
92.16222685235844,92.2948985972423
92.15929977928083,92.29496232833634
92.15758813077588,92.29536940236277
92.151773182678,92.29515016591053
92.14821995040792,92.29576412077013
92.14422273239165,92.29541201397157
92.14131743313587,92.29519694278758
92.13822660331265,92.29516709972806
92.13040775593602,92.2945179144709
92.12617614354765,92.29536685981815
92.12080065900706,92.2951522282962
92.11814813630349,92.29503180378617
92.11104641833568,92.2956377910926
92.10690172863198,92.29504365200744
92.10306361572042,92.29503187859864
92.09875951022728,92.29529070016963
92.09462086161565,92.29507493402274
92.08938516794544,92.29559936215257
92.08454815183092,92.29447829500421
92.08006231302822,92.29555819919764
92.07686160437049,92.29421905040573
92.07422157809737,92.29484740711015
92.07174498925498,92.29344643229336
92.06700162732773,92.29456301320809
92.06113496748178,92.29466482139172
92.05963907226484,92.29479798329625
92.05495960783136,92.29540063928562
92.05128620961,92.29596114288627
92.04747243366931,92.29638812389683
92.0440096279173,92.29604680749195
92.03897199576548,92.29634551887929
92.03407054708903,92.29621585688145
92.02911726584267,92.29620194427879
92.02502856843228,92.29622552796864
92.02227710990097,92.29644123527963
92.01811125911479,92.29593911937316
92.01568515654179,92.29621585688145
92.0104984820186,92.29612493909315
