True,Pred
92.24977339197856,92.80477753903226
92.24623165935874,92.81760859927653
92.24179830038582,92.88217457808962
92.23920508826113,92.90718845378768
92.23481696843764,92.94434538958134
92.23070890069707,92.94917620283859
92.22700165941494,92.9402245119446
92.21936297897899,92.94699389629237
92.21936297897899,92.9468460039902
92.21743332903677,92.94328923243258
92.21336009682207,92.95230233425187
92.21316546146589,92.91134000244128
92.20710711776874,92.95650941228288
92.20268996618283,92.93001511076557
92.19709643273924,92.89523249478856
92.19373734390784,92.86153615618456
92.18790093267289,92.8357438847864
92.18239175876491,92.79040891952367
92.17934222412102,92.76434698121372
92.17390177195034,92.74126728951308
92.17170058786502,92.730446213106
92.16697061990189,92.64249600461366
92.16222685235844,92.62919096152257
92.15929977928083,92.63518742021044
92.15758813077588,92.64618138532168
92.151773182678,92.64551750826395
92.14821995040792,92.65455308196947
92.14422273239165,92.66390160340286
92.14131743313587,92.65780140918024
92.13822660331265,92.66348991249139
92.13040775593602,92.66932326496189
92.12617614354765,92.67149586940052
92.12080065900706,92.66588885310237
92.11814813630349,92.67152266838922
92.11104641833568,92.69354850628447
92.10690172863198,92.70100685682041
92.10306361572042,92.70374989782131
92.09875951022728,92.70677540544101
92.09462086161565,92.70071607340975
92.08938516794544,92.69626289455796
92.08454815183092,92.71284899371634
92.08006231302822,92.72061430276584
92.07686160437049,92.71634482965311
92.07422157809737,92.70523106204577
92.07174498925498,92.70293330703052
92.06700162732773,92.71391356806747
92.06113496748178,92.7286818440368
92.05963907226484,92.768453819953
92.05495960783136,92.78524328104949
92.05128620961,92.8603048498536
92.04747243366931,92.97781993292043
92.0440096279173,93.03309016767241
92.03897199576548,93.07376043533633
92.03407054708903,93.08809383756794
92.02911726584267,93.09443390453247
92.02502856843228,93.10243396751358
92.02227710990097,93.11331685404028
92.01811125911479,93.11861798156798
92.01568515654179,93.08978288068116
92.0104984820186,93.01388875045461
