Model,MSE,MAE,R2
LSTM,0.024049051310873072,0.15325952777075807,-3.702013379614555
CNN,0.02266679785439115,0.11824396137968425,-3.431758467585741
CNN-LSTM,0.030690646341455078,0.16425115684335906,-5.000562261734447
GRU,0.061871497059663015,0.2407918754272572,-11.096968118646199
MLP,0.008347495134231135,0.07729993595749463,-0.632082417724164
LSTM_iTransformer_Improved,3.5665054151576603e-06,0.001468342083710894,0.9993026853340798
