True,Pred
92.24977339197856,92.2485244824956
92.24623165935874,92.2433741149357
92.24179830038582,92.24027457730979
92.23920508826113,92.23435260695094
92.23481696843764,92.22877822376918
92.23070890069707,92.22497392371292
92.22700165941494,92.22226447666185
92.21936297897899,92.21801628579084
92.21936297897899,92.2102210936047
92.21743332903677,92.20769686643632
92.21336009682207,92.20222298113613
92.21316546146589,92.20020120022487
92.20710711776874,92.20122075533254
92.20268996618283,92.20120210561834
92.19709643273924,92.19866041969388
92.19373734390784,92.19501159145696
92.18790093267289,92.18726283800854
92.18239175876491,92.17581762662732
92.17934222412102,92.16218210512652
92.17390177195034,92.15705813713895
92.17170058786502,92.1567400822719
92.16697061990189,92.15793449247431
92.16222685235844,92.15742162101833
92.15929977928083,92.15564998446916
92.15758813077588,92.1511172495318
92.151773182678,92.14931343122221
92.14821995040792,92.14644516386078
92.14422273239165,92.14211014523653
92.14131743313587,92.13710798292524
92.13822660331265,92.13191621662445
92.13040775593602,92.12728099024514
92.12617614354765,92.12191613802658
92.12080065900706,92.11883982408459
92.11814813630349,92.11701472387067
92.11104641833568,92.11377026044612
92.10690172863198,92.1061185959773
92.10306361572042,92.09764898490324
92.09875951022728,92.09198376958726
92.09462086161565,92.08845078360572
92.08938516794544,92.08852020438367
92.08454815183092,92.08272374202751
92.08006231302822,92.07140066426759
92.07686160437049,92.06711053958752
92.07422157809737,92.06502146091064
92.07174498925498,92.06128704765943
92.06700162732773,92.0600835412984
92.06113496748178,92.05832423720719
92.05963907226484,92.05509290884282
92.05495960783136,92.05315779171228
92.05128620961,92.05117479461207
92.04747243366931,92.0461604292948
92.0440096279173,92.041684031856
92.03897199576548,92.03859221819779
92.03407054708903,92.03437541511511
92.02911726584267,92.02800549777969
92.02502856843228,92.01572359514759
92.02227710990097,92.0110790654865
92.01811125911479,92.0129752089431
92.01568515654179,92.01129811548475
92.0104984820186,92.01135750804987
