True,Pred
92.24977335434208,92.33521028035068
92.24623161852121,92.34181506943447
92.24179828584515,92.34833026650992
92.23920508471637,92.34912104935981
92.2348170079624,92.34550039162602
92.23070892923042,92.33690664156013
92.2270016229629,92.328156243455
92.21936293842339,92.3145793748466
92.21936293842339,92.31632246371544
92.21743330685133,92.29051582604927
92.21336008989674,92.27865693479197
92.21316545263835,92.26722779082729
92.20710713801206,92.28889912262137
92.20268999444635,92.2809758408808
92.19709647285721,92.27735260760674
92.19373732444555,92.25881745602285
92.18790096620135,92.25496564354884
92.18239179355643,92.24838274655744
92.17934226188,92.24067985747807
92.17390180097044,92.2345296512539
92.17170063386588,92.22852330735114
92.16697065413959,92.22156806082195
92.16222687687608,92.22162251510218
92.15929977534657,92.21995926798206
92.1575881448626,92.23203910380204
92.15177321879288,92.23315385282586
92.14821998502431,92.22049286473816
92.144222746508,92.21286595409708
92.14131744508731,92.21212760188862
92.13822661278279,92.20386913197719
92.13040773240719,92.19704137469192
92.1261761197253,92.19938327667612
92.12080069120783,92.1976256544014
92.11814816066902,92.19011133166404
92.11104638429455,92.18624250222747
92.10690169609714,92.18209036335996
92.10306358917677,92.18478585023132
92.09875949343268,92.18995587941137
92.09462087615165,92.1887107896526
92.08938517069444,92.18744546350592
92.08454812207931,92.17713704749787
92.08006235876182,92.18183612074078
92.07686160607744,92.17729387950426
92.07422158530571,92.18176658115318
92.07174501935823,92.17592635959856
92.06700161002905,92.17537979315748
92.06113498918654,92.17376566526987
92.0596390602011,92.1772673882328
92.05495957946104,92.18094663950798
92.05128621513508,92.18163614843466
92.0474724838638,92.19993057898586
92.04400966995583,92.21635939853769
92.03897191316594,92.2189886572304
92.03407047604378,92.21336754056684
92.02911734414884,92.20250289984163
92.02502848998539,92.20377567665842
92.02227707709649,92.19761406447014
92.01811132465893,92.19715212292401
92.0156851657141,92.19667206061231
92.01049839552223,92.185340419244
