Model,MSE,MAE,R2
LSTM,0.01138514240379689,0.09962119286662344,-1.2259958137777955
CNN,0.02591477189715124,0.14291671946844625,-4.066794222866028
CNN-LSTM,0.007625252284928632,0.06861241915129905,-0.490871089990937
LSTM_iTransformer_Improved,5.406694666556103e-06,0.0018420003470481562,0.9989428959895912
