Model,MSE,MAE,R2
CNN-BiLSTM,0.6146770396799923,0.6951056402744735,0.8224240628069047
Bi-GRU,0.6589210681798321,0.41606649044258504,0.8096422695742385
CNN-BiGRU,1.0813905770577477,0.8987219925349361,0.6875937560758996
LSTM_iTransformer_Improved,0.04673401681306572,0.04597708123979797,0.9864988663986889
