Model,MSE,MAE,R2
LSTM,4.1828447055805755,0.8810570689765591,-0.1759901924615579
CNN,2.9300283983764595,0.7632278233585948,0.17623414143788918
CNN-LSTM,6.750188695934964,0.8759385766017246,-0.8977887687519541
iTransformer,0.17925108260491487,0.13295985533711902,0.9496042693504114
