真实值,预测值
92.24977338621262,92.24632181167728
92.24623165507526,92.24169593869834
92.24179829796357,92.24107741258106
92.23920508699256,92.23824478961242
92.23481696289073,92.23492083056757
92.23070890054575,92.22995490746213
92.22700166957999,92.22620938604763
92.21936297646005,92.22104756281811
92.21936297646005,92.21475982634841
92.2174333312301,92.21349794333801
92.21336009772257,92.20927881935309
92.21316545460819,92.20708233997588
92.2071071127359,92.20407932451039
92.20268996137976,92.20033885047323
92.19709642301011,92.19627526693232
92.19373734504865,92.19143371043081
92.1879009330701,92.1890331506973
92.18239176905793,92.18456672456169
92.17934222489565,92.1792608867
92.17390177096648,92.17634820188403
92.17170059230692,92.17122430166965
92.16697061958783,92.16526549562543
92.16222684877016,92.16174787973533
92.15929977602798,92.1562265807451
92.15758812528456,92.15184097066265
92.15177317916364,92.14899017906947
92.14821995122234,92.14556037980951
92.14422273779259,92.14636643243252
92.1413174306565,92.13925207672757
92.13822660823017,92.13583468318623
92.13040774694578,92.1318584038023
92.1261761398878,92.12417777490556
92.12080066368982,92.11863142274545
92.11814813153119,92.11591746149067
92.11104642327749,92.11327674522303
92.10690173360427,92.1078904877497
92.10306360925354,92.10120034380404
92.09875951141422,92.09946205412469
92.09462087472608,92.09184418868823
92.08938516833527,92.08431678927155
92.08454816124187,92.08524244153102
92.08006231914135,92.08205877927047
92.07686160989567,92.07666017892902
92.07422158014872,92.07143003238872
92.07174499066814,92.06674782603748
92.06700163079594,92.06405659248465
92.06113495872667,92.0612995979869
92.05963906886026,92.05700285848887
92.05495959892241,92.05291640704108
92.05128621052496,92.0488091085712
92.04747244073678,92.04427933639968
92.04400963046876,92.04170419736015
92.03897199979569,92.03963342378565
92.03407053953092,92.03489043376437
92.02911726992004,92.03110844698251
92.02502855948082,92.02607682578264
92.02227711032963,92.02138970017236
92.01811125998624,92.01614858138795
92.01568515999162,92.00993440415783
92.01049848000001,92.00671657178124
