date,vhc_totalMile,Cumulative capacity,Ambient_Temp,MeanCurrent,Temp_offset,MeanPower,deep_char,FastChgNum,Rohm,Rp,Cp,Target
1,300709,8.440277778,19.3,111.2548718,3.764102564,39.48771026,0,0,0.040682994,0.039669319,12.33060957,96.51483144
2,300829,122.8813889,20.3,91.12009804,3.987745098,33.38423039,0,0,0.040630921,0.039623519,12.35282966,96.5087665
3,301029,262.8783333,20.8,110.6324561,2.026315789,40.00683421,0,1,0.040635783,0.039638413,12.35707948,96.498632
4,301130,377.6872222,20.8,81.72333333,3.247222222,30.40799333,0,1,0.040655341,0.039670605,12.35768404,96.49350144
5,301328,515.6925,23.3,110.2891566,0.328313253,39.76841988,0,1,0.040648677,0.039673914,12.36521122,96.4834185
6,301556,705.6858333,24.1,110.7484177,0.02056962,39.94865158,0,1,0.040645826,0.039672345,12.36679321,96.471766
7,301811,880.9266667,18.2,106.1883721,2.397674419,38.46924279,0,1,0.040638599,0.039667706,12.37040346,96.45867925
8,302050,1044.999722,19,110.7937888,1.291925466,39.62367453,0,1,0.04063419,0.039664605,12.37243524,96.44636019
9,302254,1183.136389,16.8,80.7575,3.1025,30.0928175,2,1,0.040663053,0.03965067,12.33857714,96.43578281
10,302467,1310.592222,18.5,110.56,1.32,39.80364031,2,1,0.040657262,0.039645381,12.34094199,96.42473875
11,302619,1474.125556,21.3,83.30822511,4.233766234,30.71622684,3,1,0.040651941,0.039640598,12.34315011,96.41681619
12,302780,1609.259444,21,100.7919414,0.93040293,36.75056886,3,1,0.040647116,0.039636345,12.34519473,96.40838281
13,302995,1758.000278,21.7,100.8763052,0.110441767,36.64988072,4,1,0.040642805,0.039632641,12.34707028,96.39712081
14,303179,1908.716667,21.7,100.2501901,1.007604563,36.42546388,4,1,0.040639021,0.039629498,12.348773,96.38743088
15,303288,2046.334444,24.5,94.43872832,1.023121387,34.83519306,4,1,0.040635776,0.039626927,12.35030049,96.38167425
16,303434,2206.891667,22.9,70.53536232,3.714492754,25.72292348,5,4,0.040627598,0.039622601,12.35537652,96.37394431
17,303642,2423.243889,26.7,117.5124601,1.977635783,41.35562141,5,5,0.040627449,0.039623314,12.35592861,96.362893
18,303753,2601.864722,22.8,78.895625,4.0625,28.70314625,5,5,0.04062772,0.039624473,12.35635355,96.35697663
19,303866,2755.549444,27,118.1575,4.64375,42.89188625,5,6,0.040628368,0.039626036,12.35666695,96.350933
20,303980,2891.908056,22.3,98.15984848,0.799242424,35.88067045,5,6,0.040629349,0.039627959,12.35688523,96.34483581
21,304142,3085.863611,26.1,132.7660633,5.332579186,47.35202308,5,7,0.040630622,0.039630199,12.35702327,96.336137
22,304187,3203.5375,24,74.91818182,0.917112299,27.96780535,6,7,0.040632144,0.039632715,12.35709414,96.3337155
23,304394,3384.403333,22,112.1749271,1.036443149,40.23932303,6,8,0.040633878,0.039635466,12.35710919,96.32254738
24,304620,3643.376389,22,85.64243902,2.57804878,30.29755707,6,8,0.040637818,0.039641514,12.35701756,96.31029856
25,304711,3797.654722,22.9,62.20449102,4.919161677,23.04876587,7,8,0.040639937,0.039644721,12.35693637,96.30534994
26,304921,4000.313333,24.9,67.04074074,2.66747182,23.86854122,8,8,0.040642097,0.039647988,12.35684921,96.29389319
27,305037,4193.337222,23.2,88.34469027,1.451327434,32.68419779,9,8,0.040644255,0.039651272,12.35676945,96.28754244
28,305266,4382.371944,22.7,114.291831,0.149295775,40.94093746,9,9,0.040646363,0.039654522,12.35671225,96.27495825
29,305515,4666.423333,23.5,111.204703,2.545792079,39.68343465,11,9,0.040648371,0.039657687,12.35669359,96.26120325
30,305774,4989.123056,22.6,93.06365796,1.560570071,33.24487173,13,9,0.040651887,0.039663553,12.3568374,96.24681538
31,305962,5226.496667,23.8,107.0911263,2.081911263,38.69271297,13,9,0.040653312,0.039666167,12.35702643,96.2363195
32,306137,5428.725278,21.2,90.72407932,4.443342776,32.75461445,14,9,0.040654472,0.039668528,12.35730579,96.22650963
33,306331,5647.876111,17.5,104.8454839,3.514516129,37.94564516,14,9,0.040655892,0.039672375,12.35816918,96.21558919
34,306445,5832.925,17.5,108.2424581,1.675977654,39.34896089,14,9,0.0406561,0.039673809,12.35876973,96.20914956
35,306661,6033.22,22.8,111.0922652,0.251381215,39.35696464,14,9,0.040655933,0.039674877,12.3594952,96.19690206
36,306757,6204.2875,21.7,86.06774194,3.50921659,31.9162341,15,9,0.040655363,0.039675551,12.36035374,96.19143919
37,306918,6374.301667,22.5,100.7250836,0.662207358,36.20131405,15,9,0.040654369,0.039675807,12.36135092,96.18225031
38,307082,6555.424722,28.4,98.28293515,2.341296928,35.75087918,16,9,0.040652933,0.03967563,12.36249087,96.17285488
39,307273,6758.312222,20.1,104.3610169,2.3,37.85921729,17,9,0.040651041,0.039675005,12.36377707,96.16186725
