date,vhc_totalMile,Cumulative capacity,Ambient_Temp,MeanCurrent,Temp_offset,MeanPower,deep_char,FastChgNum,Rohm,Rp,Cp,Target
1,168784,18.02166667,20.9,121.5597101,0.285507246,43.09316116,2,1,0.036656644,0.036039346,12.6775368,90.09858967
2,168994,225.0341667,20.8,128.0914894,1.343085106,45.49042074,2,2,0.03684169,0.036182075,12.6099344,90.0886772
3,169165,396.4041667,20.8,95.67763158,2.414473684,35.22213158,4,2,0.037194696,0.036468071,12.47339714,90.08064193
4,169416,585.73,24.5,117.4852381,0.126190476,42.02747571,4,4,0.037349643,0.036600865,12.4082698,90.068907
5,169592,724.0872222,24.1,105.8340164,1.18442623,38.49671885,4,4,0.037365039,0.036614329,12.40155406,90.06072107
6,169801,873.5402778,18.2,108.4811966,1.269230769,39.22618974,4,4,0.037380415,0.036627826,12.39479793,90.0510462
7,170021,1036.491667,19,118.0731118,0.15407855,42.10872961,5,5,0.037395766,0.036641352,12.38800169,90.0409166
8,170269,1262.123333,18.5,114.8179811,0.140378549,41.12480978,6,6,0.036673762,0.036052372,12.67129852,90.0295652
9,170417,1423.448611,25.4,122.2369565,2.141304348,43.49007826,6,7,0.036690811,0.036065378,12.66509073,90.02282527
10,170586,1529.471389,21.3,118.84,0.807575758,42.36257697,8,8,0.036707796,0.036078369,12.65890945,90.0151606
11,170804,1749.015556,21,129.5978417,0.928057554,46.52923094,8,10,0.03674159,0.036104322,12.64660899,90.00532367
12,170992,1916.492222,21.7,114.6013937,1.480836237,41.17775645,9,11,0.036775164,0.036130252,12.63436382,89.99688607
13,171178,2098.329167,21.7,105.8492611,0.041871921,38.72195172,9,12,0.03680853,0.036156169,12.62214604,89.98858
14,171441,2311.603889,22.9,138.175,2.23940678,48.68054492,10,14,0.036858192,0.036195022,12.60382641,89.97690673
15,171733,2683.044167,22.3,157.961039,2.74025974,54.22871429,12,17,0.036923685,0.036246769,12.57935266,89.96404453
16,171795,2757.425278,26.1,133.9148649,2.310810811,47.04691689,12,18,0.036939939,0.036259703,12.57321721,89.96132687
17,171954,2967.313333,24,114.9446064,2.016034985,40.92614023,15,19,0.036972323,0.036285586,12.56091952,89.95437873
18,172106,3182.820833,22,133.2990566,0.759433962,47.48498774,15,20,0.036988455,0.036298539,12.55475582,89.94778507
19,172321,3381.856389,23.2,122.1054054,2.674174174,43.43028799,17,22,0.037036608,0.036337446,12.53619693,89.93845853
20,172529,3627.922222,23.5,110.1302491,0.051601423,39.74001281,18,22,0.037052578,0.036350434,12.52998562,89.9295082
21,172596,3758.494167,23.9,79.45153846,2.792307692,30.02206154,19,22,0.037068509,0.036363434,12.5237606,89.92663633
22,172780,3890.036944,27.5,144.0438095,2.5,50.41311714,19,23,0.037084404,0.03637645,12.51752137,89.9187774
23,172911,4005.762778,23.8,118.0122034,1.630508475,42.27610678,20,24,0.037100264,0.036389483,12.51126729,89.9132072
24,173037,4181.953333,26.2,93.64680851,0.909574468,34.72112181,21,24,0.037116091,0.036402534,12.50499761,89.90786907
25,173144,4294.412222,19.3,82.81354167,4.7734375,30.62454375,21,24,0.037131883,0.036415605,12.49871168,89.90335087
26,173335,4478.426389,17.5,101.7820261,2.821895425,36.71489706,22,24,0.037147641,0.036428695,12.49240924,89.89531967
27,173497,4658.575833,25.4,141.5186275,0.892156863,49.63403529,22,25,0.037163363,0.036441803,12.4860901,89.88854187
28,173634,4780.561944,20.8,117.7316923,0.630769231,41.988696,24,26,0.037179048,0.036454928,12.47975326,89.88283407
29,173853,5045.284444,21.7,156.2511811,0.594488189,53.67864094,24,27,0.037210309,0.036481232,12.46701986,89.87375533
30,173888,5127.553056,25,98.3059633,0.667431193,36.1806555,25,28,0.037241434,0.036507615,12.45419296,89.87230947
31,174058,5306.973333,22.5,154.5901235,0.388888889,53.58036667,25,29,0.037256951,0.036520841,12.44773804,89.8653076
32,174065,5346.643333,24.8,115.053271,1.897196262,42.01421308,25,30,0.037272444,0.036534094,12.44125171,89.86501927
33,174309,5561.213611,20.1,114.7245902,0.11147541,41.15356623,26,31,0.037303369,0.036560695,12.4281745,89.85502747
34,174503,5792.458333,28.3,157.8896552,1.643678161,54.41854138,26,32,0.037318807,0.036574047,12.42157945,89.8471404
35,174600,5921.023333,24.3,118.1890052,1.445026178,42.27656702,26,34,0.037684433,0.036938778,12.23092283,89.84319687
36,174792,6119.780278,27.7,166.6696629,2.730337079,56.87290899,26,35,0.037763463,0.037044239,12.15698596,89.83544107
37,174827,6183.173611,22,106.3434263,0.157370518,38.6590992,27,35,0.03781285,0.037113317,12.0963107,89.83403147
38,174957,6359.587778,25.8,102.0538136,0.093220339,37.33489958,28,35,0.037817681,0.037120264,12.08958427,89.82880693
39,175132,6545.163056,24.7,111.6451613,1.501792115,40.16835197,29,36,0.037822397,0.037127084,12.08286275,89.8218014
40,175319,6765.827778,24.5,115.725,2.203333333,41.445142,30,37,0.037827001,0.037133783,12.07614651,89.81434947
41,175478,6976.94,30.9,153.5513889,3.673611111,53.06822222,30,38,0.037831496,0.037140366,12.06943589,89.8080404
42,175504,7027.378056,25.8,122.9564286,1.685714286,44.29885286,30,39,0.037426369,0.036668476,12.37429038,89.80701107
43,175695,7240.540556,20.2,107.4351779,0.395256917,38.98412806,32,40,0.037471914,0.03670925,12.3534509,89.79946893
44,175905,7441.176111,21.1,121.3971429,0.230612245,43.39716816,32,41,0.037486967,0.036722839,12.34644184,89.79121567
45,176125,7682.960278,22.1,110.8156584,0.138790036,39.92858683,33,42,0.037516827,0.03674997,12.332348,89.78261187
46,176342,7919.578611,22.3,109.9213058,0.317869416,39.55544296,34,42,0.037531612,0.036763496,12.32526956,89.7741664
