date,vhc_totalMile,Cumulative capacity,Ambient_Temp,MeanCurrent,Temp_offset,MeanPower,deep_char,FastChgNum,Rohm,Rp,Cp,Target
1,226351,19.68861111,19.3,54.75819296,4.541347626,19.81097473,2,0,0.048186226,0.047161377,9.617998004,95.88998313
2,226513,175.2063889,20.9,88.675,4.422619048,32.47433929,2,0,0.048000756,0.046984069,9.655568937,95.8748285
3,226737,304.7208333,22.2,146.225,4.738636364,49.60698182,2,1,0.047797807,0.046799352,9.70398329,95.85385844
4,226837,374.4427778,20.3,63.51599265,3.048713235,22.83580699,4,1,0.04758712,0.046615376,9.758998062,95.84449094
5,227072,599.9433333,20.8,55.93910387,4.192464358,20.55458493,5,1,0.047511477,0.046551145,9.779456357,95.82246306
6,227265,768.4661111,23.3,61.03932039,4.41868932,22.43234005,6,1,0.047492801,0.04653542,9.784549624,95.804357
7,227525,967.2991667,24.1,53.69948097,3.956747405,19.67668131,7,1,0.047474246,0.046519851,9.789625095,95.77994381
8,227831,1159.479444,18.2,52.38816568,4.391518738,18.87274734,8,1,0.047455825,0.046504447,9.794678204,95.7511795
9,228118,1363.997778,19,49.30602911,5.602910603,18.06107983,9,1,0.047437549,0.046489217,9.799704433,95.72416963
10,228375,1542.310556,16.8,66.01141649,4.44397463,24.0996334,10,1,0.048170308,0.047145726,9.620890342,95.69995706
11,228587,1726.127222,23.7,60.70695971,4.173992674,22.2616011,11,1,0.048137857,0.047114102,9.627005954,95.6799655
12,228874,1882.3925,24.5,109.6392857,3.71875,37.68523125,12,1,0.048104623,0.047082083,9.633550038,95.65287463
13,228973,1982.182778,21.7,56.59525547,3.177007299,20.42238595,13,1,0.04808773,0.04706594,9.636976841,95.6435225
14,229261,2202.801389,21.7,60.19771242,2.379901961,21.6211384,14,1,0.048070662,0.047049716,9.640503434,95.61629531
15,229434,2395.306667,24.5,100.5248366,1.065359477,36.68201569,14,1,0.048053425,0.047033413,9.644127743,95.599925
16,229633,2593.595556,22.9,64.09558574,2.350594228,23.27106587,15,1,0.048036025,0.047017036,9.647847923,95.58108038
17,229941,2938.576667,22.8,66.50731034,1.793103448,23.81276414,18,2,0.047982903,0.046967489,9.659565946,95.55188413
18,230187,3279.03,22.3,65.74506438,0.114449213,23.57522017,20,2,0.047964913,0.046950852,9.663651193,95.52853913
19,230318,3499.423333,29.8,80.17686833,0.558718861,29.62785053,21,2,0.047946792,0.046934164,9.667822509,95.516098
20,230414,3618.085556,24,79.04127907,2.00872093,29.345175,21,2,0.047928547,0.04691743,9.672077958,95.50697675
21,230586,3759.981111,26.1,134.1235632,1.672413793,47.73386552,21,3,0.047910182,0.046900654,9.676415317,95.49062569
22,230696,3885.008611,22,105.3747619,0.088095238,38.19235429,21,3,0.047891703,0.04688384,9.680832047,95.48016275
23,230878,4052.204722,24.8,134.9792208,0.594155844,47.47279675,21,4,0.047873115,0.04686699,9.685325088,95.46284131
24,231028,4191.893889,22.9,106.7012195,0.068597561,38.29994512,22,4,0.047854424,0.04685011,9.689890858,95.448556
25,231247,4422.784722,24.9,143.1046218,7.672268908,50.40634958,22,5,0.047835638,0.046833206,9.694525393,95.42768438
26,231297,4545.046389,23.2,40.55584989,3.726269316,15.24408168,23,5,0.047816763,0.046816284,9.699224383,95.42291469
27,231512,4768.480278,22.7,72.94939024,0.082317073,26.56224126,24,5,0.047778778,0.046782418,9.708797977,95.40240506
28,231800,5105.624167,22.5,104.4482927,1.462195122,37.37213171,25,5,0.047759687,0.046765492,9.713664463,95.37490269
29,232106,5504.255833,19.3,63.68119534,4.024052478,22.9624312,26,5,0.047721361,0.0467317,9.723535355,95.34564888
30,232356,5828.761111,17.5,74.56666667,4.028089888,27.01571273,27,5,0.047702151,0.04671486,9.728529702,95.32172425
31,232618,6152.665556,20.8,63.14867807,3.793934681,22.84476159,28,5,0.047682931,0.046698076,9.733556338,95.29662819
