date,vhc_totalMile,Cumulative capacity,Ambient_Temp,MeanCurrent,Temp_offset,MeanPower,deep_char,FastChgNum,Rohm,Rp,Cp,Target
1,135548,0.008333333,22.3,75.85966921,2.480916031,41.60256732,1,1,0.049231723,0.05261704,9.205104013,91.0016691
2,135678,419.2030556,21.1,151.3570513,2.519230769,83.71725446,2,2,0.049252414,0.05233517,9.281905616,90.9906918
3,135822,831.9713889,21.7,77.33858382,1.548340548,42.39307223,3,3,0.049264587,0.052258901,9.302855359,90.9850847
4,137334,1233.043056,23.5,147.8399491,1.219543147,81.69324863,4,4,0.049325418,0.052029387,9.370233027,90.9797596
5,137473,1674.540278,23.8,77.76163611,2.085331453,42.63316238,5,5,0.049356022,0.051955346,9.394242752,90.9680868
6,137619,2142.604167,26.3,136.155511,1.038,75.19932335,6,6,0.049392969,0.05188411,9.418958343,90.9610913
7,137757,2646.505,25.9,77.4305383,3.002587992,42.50419057,7,7,0.049437034,0.051816799,9.444256228,90.9285887
8,137900,3165.720556,26,78.17957447,2.989361702,42.90115835,8,8,0.049233272,0.05255111,9.223385729,90.9221648
9,138009,3643.634722,27.2,74.79593023,2.738953488,41.01941727,9,9,0.049237077,0.052481944,9.242227089,90.9190886
10,138154,4170.682778,29.6,74.45851528,3.09991274,40.81137064,10,10,0.049243343,0.052409779,9.261707055,90.9156279
11,138296,4743.190556,24.6,104.356478,2.213567839,57.37939669,11,11,0.0494888,0.05175444,9.469972299,90.9121491
12,138441,5286.93,27.7,74.66935649,2.907048008,40.95199408,12,12,0.050126282,0.05174192,9.618954691,90.9078491
13,138588,5844.340556,26.6,77.91577982,2.885779817,42.74526194,13,13,0.05024146,0.051810527,9.631356647,90.9048001
14,138738,6428.716389,27.7,74.93508459,2.509786477,41.06783937,14,14,0.05035589,0.051884369,9.642791638,90.9001467
15,138886,7001.877222,24.6,105.8802436,1.824324324,58.22191794,15,15,0.050469603,0.051962565,9.653449551,90.8970784
