date,vhc_totalMile,Cumulative capacity,Ambient_Temp,MeanCurrent,Temp_offset,MeanPower,deep_char,FastChgNum,Rohm,Rp,Cp,Target
1,50388.6,6.206111111,19.3,192.7896373,4.067357513,102.5577014,1,1,0.02705048,0.225230878,3.048992755,94.41112534
2,50675,1023.78,20.8,188.9496667,3.621666667,100.6600295,2,3,0.027617744,0.221062029,3.083694341,94.4032188
3,50890.5,1763.74,20.8,131.4404255,4.800911854,69.72017362,3,4,0.027902169,0.218972779,3.101099202,94.39742512
4,51106.5,2572.501667,23.3,150.0638587,4.221467391,79.79207299,4,5,0.028187129,0.216880117,3.118543302,94.39174688
5,51394.9,3450.646667,24.1,156.1654987,3.765498652,82.77152181,5,6,0.028472624,0.214783909,3.136028758,94.38435146
6,51899.5,4902.889444,19,189.7738197,2.135193133,101.0758337,8,65,0.028680594,0.213257097,3.148772568,94.37201247
7,52200.3,5755.502222,16.8,127.3216216,6.618725869,67.44747542,9,66,0.028706611,0.213066107,3.150367193,94.364657
8,52347.9,6412.968333,16.8,162.587234,6.337765957,86.74518564,10,67,0.028732631,0.212875085,3.15196219,94.36120168
9,52568.6,7000.944444,21.3,195.0396396,3.45045045,104.0435185,11,68,0.028784686,0.212492949,3.155153304,94.35603506
10,52784.2,7667.431111,21,191.6585366,1.87804878,102.0194828,12,69,0.02881072,0.212301834,3.156749423,94.35109932
11,53101.5,8458.96,21.7,191.4309783,0.726902174,101.5201044,13,70,0.028836758,0.212110687,3.158345919,94.34383536
12,53316.9,9245.177222,21.7,189.5631818,2.102272727,101.0021725,14,71,0.028862801,0.211919509,3.159942794,94.33895641
13,53603.1,10057.51278,21.7,191.587055,0.789644013,101.6880222,15,72,0.028888848,0.2117283,3.161540048,94.33249078
14,53896.6,11010.87444,22.8,189.6367978,0.004213483,100.4920179,16,73,0.0289149,0.211537058,3.163137684,94.32585885
15,54112.1,11862.94111,22.3,190.15,1.015037594,101.0397008,17,74,0.028940956,0.211345785,3.164735702,94.32097582
16,54400.8,12726.75556,24,188.8099415,0.970760234,100.0500525,18,75,0.028967016,0.211154481,3.166334103,94.31440443
17,54689.2,13652.89667,22,186.8858824,1.255882353,99.14844491,19,76,0.028993081,0.210963144,3.16793289,94.30779609
18,54904.3,14463.94111,22,191.9502008,2.504016064,102.1231365,20,77,0.029019151,0.210771775,3.169532064,94.30283615
19,55253.1,15381.87333,23.2,192.7845411,1.491545894,102.4294938,21,78,0.029071303,0.210388942,3.172731576,94.29473503
20,55468.8,16252.85444,23.2,189.6551867,3.632780083,101.1288321,22,79,0.029097385,0.210197477,3.174331916,94.28968641
21,55685.8,16943.63944,22.5,188.7253112,1.325726141,100.4685132,23,80,0.029123472,0.21000598,3.175932649,94.28457262
22,55902.1,17635.51,22.6,194.0161943,0.912955466,103.1478369,24,81,0.029149564,0.209814451,3.177533774,94.27943649
23,56024.5,18131.48111,19.3,156.536478,3.871069182,83.25212057,25,82,0.02917566,0.209622889,3.179135294,94.27651216
24,56240.5,18689.36556,17.5,193.0938326,5.810572687,103.0855771,26,83,0.02920176,0.209431295,3.180737209,94.27131991
25,56527.9,19510.98944,20.8,191.7572816,2.726537217,101.8490436,27,84,0.029227865,0.209239668,3.182339521,94.26434919
26,56744,20296.68556,21.7,190.7900398,1.24501992,101.4140608,28,85,0.029253974,0.209048009,3.183942231,94.25906293
27,56960.3,21204.64778,22.5,177.9965426,1.803191489,94.52623774,29,86,0.029280088,0.208856317,3.18554534,94.25373795
28,57103.5,21930.49333,20.1,96.47550505,4.907828283,51.05767177,30,87,0.029306206,0.208664592,3.187148849,94.25019663
29,57391.9,22919.69778,22.5,205.2643836,0.134246575,109.1844344,31,88,0.029358455,0.208281044,3.190357074,94.24303073
30,57538.4,23695.30833,22,188.3541176,0.152941176,100.2897363,32,89,0.02964614,0.206169163,3.208031467,94.2393748
31,57753.7,24403.66389,22,190.7320755,0.043396226,101.4227279,33,90,0.029934358,0.204053215,3.225756371,94.23398648
32,57971.4,25149.23611,24.7,181.0636364,1.154150198,96.44797182,34,91,0.030223106,0.201933115,3.243533418,94.22852363
33,58198.2,25955.14111,24.5,188.703125,0.171875,100.1642428,35,92,0.030328237,0.201161123,3.250011041,94.22283245
34,58416.6,26696.83667,25.8,187.5594203,1.597826087,99.65396254,36,93,0.03035453,0.200968037,3.251631565,94.21735578
35,58734.2,27762.26,22.3,191.2662371,0.300257732,101.3624351,37,94,0.030380828,0.200774916,3.253252539,94.20942929
36,58951,28598.62278,20.2,175.9796935,3.457854406,93.58444667,38,95,0.030407131,0.20058176,3.254873965,94.20406624
37,59239.5,29563.28222,21.1,190.1888889,3.51984127,101.4874353,40,97,0.029384586,0.208089221,3.191961793,94.19702307
38,59456.6,30221.75611,21.7,188.2,1.829545455,100.2863221,41,98,0.029410722,0.207897364,3.193566916,94.19181536
39,59674.2,30990.51556,21.7,190.3804965,0.84929078,101.1808223,42,99,0.029436862,0.207705475,3.195172446,94.1866961
40,59896.6,31717.22944,22.3,184.631746,4.162698413,98.71330937,43,100,0.029463006,0.207513553,3.196778384,94.18159197
41,60120.9,32479.80778,20,156.4735294,5.142647059,83.0979325,44,101,0.029489155,0.207321597,3.198384731,94.17660405
42,60554.3,33142.025,22.1,189.7355372,1.237603306,100.9467768,46,117,0.029960586,0.203860652,3.227370287,94.1675323
43,60772.9,33838.45222,24.8,187.5194553,0.568093385,99.66374634,47,118,0.029986818,0.203668054,3.228984636,94.16330297
44,60992,34565.165,26.7,189.4684783,1.246376812,100.6589374,48,119,0.030013055,0.203475422,3.230599417,94.15934407
45,61211.6,35380.41222,26.4,184.2561129,0.634796238,97.70887132,49,120,0.030039296,0.203282755,3.232214633,94.15569627
46,61430.2,36157.51444,26.7,184.5043011,0.625448029,98.08065079,50,121,0.030065541,0.203090053,3.233830286,94.15242239
47,61722.4,37078.11333,27.3,151.446087,2.006521739,80.15314376,51,122,0.030091791,0.202897317,3.235446375,94.1486696
48,62014.3,38221.83222,27.6,184.9262806,1.538975501,98.13580628,52,123,0.030118046,0.202704546,3.237062902,94.14568766
49,62232.7,39192.98,23.6,189.1267974,0.722222222,100.3887556,53,124,0.030144304,0.202511741,3.238679869,94.14397143
50,62524.6,40088.31944,23.5,126.6172277,4.505940594,67.0249335,54,125,0.030170567,0.2023189,3.240297277,94.14232115
51,62816,40988.48556,23.5,190.9531915,1.773556231,101.3880204,55,126,0.030196834,0.202126025,3.241915126,94.14125815
52,63034.4,41795.37556,26.3,157.7968354,1.821202532,83.66062516,56,127,0.030249382,0.20174017,3.245152155,94.13823862
53,63253.5,42567.57389,26,188.5763251,0.604240283,100.0277479,57,128,0.030275663,0.201547189,3.246771337,94.13520938
54,63545.6,43487.22278,29.6,185.7041885,0.828534031,98.26584576,58,129,0.030301948,0.201354174,3.248390965,94.12054584
55,63763.8,44323.10444,24.6,182.3839041,1.909246575,96.60713682,59,130,0.030459748,0.200195341,3.258118173,94.10823787
56,64055.5,45217.52333,27.7,214.3262687,0.814925373,114.0876978,60,131,0.032312292,0.186578274,3.372870431,94.09178401
57,64274.6,46102.24556,27.7,187.9372881,0.298305085,99.81241966,61,132,0.032605315,0.184421597,3.391127676,94.0834863
58,64493.6,46883.83778,27.7,173.12125,0.5109375,91.83676116,62,133,0.032898846,0.182260234,3.409448814,94.07388112
59,64714,47681.09667,27.4,164.9435028,0.990112994,87.52034045,63,134,0.033192881,0.18009416,3.427834591,94.07019688
60,65005.3,48620.57278,24.6,205.9601173,1.021994135,109.5498433,64,135,0.033487415,0.177923361,3.446285623,94.05798034
61,65223.8,49453.25944,25.8,183.0165354,0.720472441,97.49232409,65,136,0.033782441,0.175747827,3.464802397,94.04909745
62,65442.8,50159.19889,26.9,180.9955556,0.418518519,96.28773807,66,137,0.034077952,0.173567556,3.483385285,94.04019422
63,65661.7,50862.95222,26,152.1763975,2.276397516,80.72095745,67,138,0.034373943,0.171382556,3.502034606,94.02493908
64,65880.5,51576.33389,26,185.8444867,0.741444867,98.79596072,68,139,0.030486064,0.200002078,3.259740958,94.01162716
65,66096,52311.89056,26.4,187.7073944,1.117957746,100.0085058,69,140,0.030775821,0.197873827,3.277621873,93.99851602
66,66315.7,53060.96278,27.3,184.1966777,0.373754153,97.98916468,70,141,0.031066104,0.1957412,3.295559317,93.98514935
67,66607.6,53972.94667,24.9,190.6383929,1.038690476,101.1891494,71,142,0.031356912,0.193604128,3.313554739,93.96891734
68,66827,54779.02667,25.1,189.0793103,0.980842912,100.7151577,72,143,0.031648244,0.191462546,3.331609532,93.95439314
69,67044.4,55556.99889,24.9,189.3675768,0.174061433,100.5215552,73,144,0.031940096,0.189316402,3.34972496,93.94300707
70,67194.5,56186.97389,24.4,217.5695402,0.913793103,116.4431984,74,145,0.032205865,0.187361363,3.366247105,93.93721351
71,67491.9,56981.48444,25,157.377619,0.721428571,82.78940614,74,146,0.032285679,0.186774104,3.37121382,93.91453738
72,70399.2,59932.61722,25.6,186.5508475,1.019774011,99.14831867,78,308,0.035454229,0.163397523,3.570413131,93.56759545
73,71102.4,62073.91056,27.5,186.4148936,0.472813239,98.90337,83,355,0.036867529,0.1529256,3.66063178,93.46413469
74,71392.4,63134.78056,27.4,161.7937947,1.452267303,85.65109289,84,356,0.036894804,0.152723221,3.662381473,93.4225823
75,71683.9,64183.28611,27.3,184.155665,0.061576355,97.74550468,85,357,0.036922082,0.152520804,3.664131718,93.38127554
76,71899.2,65175.99333,27.9,183.5950725,0.386956522,97.48501142,86,358,0.036949363,0.15231835,3.665882516,93.35100741
77,72118.3,65991.91944,27.7,182.0394464,0.714532872,96.77973038,87,359,0.036976648,0.152115858,3.667633865,93.3203787
78,72410.9,66932.55667,27.7,174.9324257,1.810643564,92.89858401,88,360,0.037003937,0.15191333,3.669385766,93.27970146
79,72631.8,67817.49778,27,166.278979,0.421921922,88.37539423,89,361,0.037031229,0.151710764,3.671138218,93.24913321
80,72849.9,68599.10944,27.9,193.7318519,0.67037037,103.0181855,90,362,0.037058524,0.151508162,3.67289122,93.21910366
81,73141.5,69544.46,28.7,188.7897436,0.557692308,100.264171,91,363,0.037085823,0.151305522,3.674644773,93.17895411
82,73392.8,70559.09,25.3,156.0347619,1.872619048,82.73096133,92,364,0.037113125,0.151102845,3.676398877,93.1471087
83,73608.1,71414.49556,26.4,175.5905488,1.385670732,93.28683939,93,365,0.037167741,0.150697381,3.679908731,93.11734894
84,73983.1,72569.88944,27,189.0989796,0.31377551,99.36834189,93,367,0.037222369,0.150291769,3.683420782,93.06557615
85,74057,72928.81889,33.4,199.1516667,1.941666667,104.9809778,93,368,0.037249689,0.150088907,3.68517763,93.05537587
86,74203.6,73391.89833,27,154.8661914,2.030549898,82.10382051,94,369,0.037277012,0.149886009,3.686935026,93.03513784
87,74419.5,74293.89611,27,196.0814394,0.522727273,104.3546984,95,370,0.037304339,0.149683074,3.68869297,93.00579505
88,74707.5,75227.53944,27.3,215.4610619,1.474926254,114.6284781,96,371,0.037331669,0.149480102,3.69045146,92.9666532
89,74924.2,76090.37,27,177.9102041,0.244897959,94.54407449,97,372,0.037359002,0.149277093,3.692210497,92.9371711
90,75140.1,76827.255,28.7,185.6225694,1.180555556,98.55400809,98,373,0.037386339,0.149074048,3.69397008,92.9079978
91,75356.7,77542.42889,29.2,192.6337037,0.364814815,102.4108329,99,374,0.037413679,0.148870965,3.69573021,92.87831067
92,75573.5,78320.57833,27.6,184.1061688,1.183441558,97.60822786,100,375,0.034724361,0.168794207,3.524160654,92.84859613
93,75721.1,78954.63056,25.4,165.6690141,0.990610329,88.10580272,101,376,0.034751344,0.168594831,3.525866521,92.82919722
94,76010.9,79771.955,25.9,171.2593516,1.703241895,90.9801102,102,377,0.03477833,0.168395416,3.527572939,92.79216972
95,76406.6,81222.95722,26.1,176.2857143,2.412698413,93.72214873,104,417,0.039942524,0.13003528,3.859907303,92.74361514
