date,vhc_totalMile,Cumulative capacity,Ambient_Temp,MeanCurrent,Temp_offset,MeanPower,deep_char,FastChgNum,Rohm,Rp,Cp,Target
1,377822,70.94305556,19.3,125.4960854,0.400355872,44.6849758,0,1,0.043856363,0.043193329,11.3705674,93.90011413
2,377925,236.7333333,23.8,78.20604396,3.895604396,28.87171648,1,1,0.043883317,0.04321862,11.38903517,93.88641588
3,378106,352.8680556,19.3,108.2979452,2.099315068,39.06996918,1,1,0.043864942,0.043196785,11.41706652,93.86234631
4,378312,481.7658333,20.3,146.9917355,0.404958678,51.61437934,1,2,0.043809317,0.043135658,11.45187839,93.8349555
5,378481,642.8936111,20.8,113.5362903,0.365591398,40.53682392,2,3,0.043731598,0.043049381,11.49067702,93.81248706
6,378573,799.2736111,23.3,69.14356436,4.25990099,25.72194505,3,3,0.043641915,0.042945592,11.53264253,93.80025675
7,378738,920.8047222,21.3,111.3401869,1.186915888,40.2973243,3,4,0.043597738,0.042893136,11.55248026,93.77832381
8,378861,1000.823611,20.8,124.8563107,1.985436893,44.96846408,3,5,0.043588754,0.042882385,11.55645928,93.76197669
9,378979,1094.370833,22.9,84.88984375,2.69140625,31.47550938,4,5,0.043860734,0.04319761,11.37179512,93.74629413
10,379124,1199.703611,23.3,84.25827815,3.339403974,30.94248113,5,5,0.043864729,0.043201506,11.37311516,93.72702319
11,379447,1425.441111,23.3,100.1590476,0.036507937,35.83579365,7,5,0.043871571,0.043208113,11.3760324,93.68410563
12,379587,1577.711667,28.8,90.62450331,1.175496689,33.2441245,7,5,0.043874408,0.043210816,11.3776287,93.66550644
13,379789,1669.751944,18.2,84.9969697,3.867965368,30.75915801,8,5,0.043876855,0.043213114,11.37931542,93.63867363
14,379952,1791.734444,21.1,87.87172775,3.455497382,32.12849895,9,5,0.043878912,0.043215009,11.38109059,93.61702419
15,380077,1891.073333,21.1,87.35177305,2.620567376,32.28012766,9,5,0.043880585,0.043216506,11.38295201,93.60042494
16,380295,2020.343889,19,113.4597015,0.625,40.63452478,10,6,0.043881876,0.043217606,11.38489767,93.57147575
17,380558,2238.026389,22.9,146.92,0.055882353,51.28132882,11,7,0.043882787,0.043218311,11.38692578,93.536559
18,380646,2342.956389,19.2,94.00902256,2.060150376,34.42983158,11,7,0.043883467,0.043218534,11.39122445,93.52487744
19,380771,2425.753611,18.5,86.12474747,3.429292929,31.73970101,11,7,0.04388324,0.043218055,11.39349196,93.50828581
20,380941,2540.435278,21.3,127.3696078,0.799019608,45.75223137,11,8,0.043882638,0.043217186,11.3958356,93.48572394
21,381134,2674.350556,21.3,107.6412869,0.328418231,38.61934343,12,8,0.043881666,0.043215931,11.39825322,93.46011369
22,381215,2821.906667,27.8,47.38181818,3.5,17.64590909,12,8,0.043880329,0.043214296,11.40074246,93.44936663
23,381442,2939.728056,21,89.22162162,1.829391892,32.03296318,13,8,0.043878633,0.043212286,11.40330103,93.41925263
24,381583,3073.658056,28.7,95.52061069,0.851145038,34.77187099,13,8,0.043876581,0.043209905,11.40592711,93.40055069
25,381731,3157.365278,21,137.1684932,1.780821918,48.74407397,13,9,0.043874179,0.043207157,11.40861876,93.38092306
26,381785,3213.046667,27.7,83.807,2.605,31.068175,13,9,0.043871434,0.04320405,11.41137395,93.37376238
27,381922,3284.970556,23.9,95.28214286,0.897321429,34.82407857,13,9,0.043868352,0.043200589,11.41419062,93.355599
28,382123,3434.696111,21.7,93.15,0.074695122,33.87143933,14,10,0.043857181,0.043188185,11.4229861,93.32895063
29,382356,3630.99,24.5,146.6145161,4.470430108,51.69426075,14,11,0.043852854,0.043183414,11.42602441,93.298069
30,382471,3769.903611,24.5,53.09832536,3.316985646,19.02290407,14,11,0.043848249,0.043178347,11.42911113,93.28282988
31,382667,3964.751111,26.7,120.2951557,1.584775087,42.88967163,14,12,0.04384338,0.043172999,11.43224352,93.25686175
32,382856,4190.336944,22.8,79.448,3.702105263,28.37433326,15,12,0.04383826,0.043167382,11.43541923,93.23182656
33,383036,4447.149167,27,88.22406639,1.68879668,32.45787137,16,12,0.043827315,0.043155386,11.44189276,93.20798888
34,383201,4619.767222,22.3,95.33013245,0.490066225,34.54332152,17,12,0.043821514,0.043149029,11.44518677,93.18614225
35,383301,4764.755833,29.8,79.05,1.843220339,29.33850169,18,12,0.043815511,0.04314245,11.44851602,93.17290406
36,383465,4929.8,26.1,110.4016327,2.934693878,39.81974612,18,12,0.043802944,0.043128663,11.45527186,93.15119713
37,383658,5133.392222,29.4,107.3991071,1.730654762,38.57861339,19,12,0.043796404,0.043121476,11.45869458,93.12565769
38,383856,5372.263611,27.3,107.0067114,0.16442953,38.54148658,19,12,0.043789707,0.043114105,11.46214508,93.09946338
39,383997,5560.306667,24.8,66.28473282,3.480916031,23.68779962,19,12,0.043782863,0.043106559,11.46562234,93.080814
40,384136,5697.825,22.9,102.4162866,0.623778502,36.91311238,19,12,0.043775882,0.043098845,11.46912567,93.06243269
41,384255,5872.9525,28.8,79.42693727,1.291512915,28.95391624,19,12,0.043768773,0.043090969,11.47265445,93.04669894
42,384359,5998.606944,24.9,80.08589744,0.13034188,29.62651966,20,12,0.043761545,0.04308294,11.47620822,93.03295175
43,384486,6142.060833,25.7,87.73568465,2.228215768,32.37781618,21,12,0.043754206,0.043074762,11.47978696,93.01616438
44,384681,6313.043333,24.1,136.2701149,0.137931034,48.53002759,21,13,0.043746765,0.043066441,11.48339108,92.99039606
45,384900,6544.886667,23.5,112.12723,1.085680751,39.76308638,23,13,0.043739227,0.04305798,11.48702098,92.96146469
46,385092,6811.991389,22.5,111.7265625,0.4453125,38.71588203,23,13,0.043723881,0.043040645,11.49435998,92.93610756
47,385181,6913.99,23.9,97.62618384,0.508356546,35.34915348,24,13,0.043716078,0.043031772,11.4980707,92.92435581
48,385372,7147.595556,26.2,99.12253521,1.181338028,35.94836655,25,14,0.043700221,0.043013611,11.50557658,92.89914069
49,385595,7386.345833,19.3,115.7579545,1.014204545,41.40078239,26,15,0.043692164,0.043004321,11.50937068,92.86970963
50,385896,7747.035,20.9,115.2353846,1.241025641,41.04287256,28,16,0.043675787,0.042985318,11.51703609,92.829999
51,386112,8035.1975,20.8,105.8934383,0.249343832,37.95660079,29,16,0.043667461,0.0429756,11.52090543,92.80151275
52,386332,8303.076389,21.7,112.948125,1.184375,40.51821625,29,17,0.04365904,0.042965738,11.52479754,92.772508
53,386463,8498.689722,25,110.430814,0.738372093,40.06227733,29,18,0.043650524,0.042955734,11.52871064,92.75524131
54,386602,8649.443889,22.5,90.94110429,1.455521472,33.16105644,30,18,0.043633218,0.042935318,11.53659069,92.73692369
55,386834,8896.273611,24.8,103.2957219,0.172459893,37.05349626,31,18,0.043624442,0.042924924,11.54055199,92.70635856
56,387032,9150.897778,24,47.60512484,5.186596583,17.05033706,32,18,0.043615595,0.042914419,11.54452305,92.68028094
57,387172,9348.5,28.3,84.4863354,0.180124224,30.34098696,32,18,0.043606689,0.042903819,11.54850037,92.66184669
58,387353,9506.470833,27.7,111.2836923,0.023076923,39.97818831,33,18,0.043570726,0.042860724,11.56440445,92.63801931
59,387664,9853.598889,22,107.1266055,0.756880734,38.05417683,35,19,0.043372847,0.042618698,11.64674412,92.597093
60,387902,10156.115,23.3,114.4352185,3.266066838,40.72442519,37,20,0.043238169,0.04247101,11.67759187,92.5657855
61,388038,10380.42139,27.6,95.20783582,0.983208955,34.81733284,38,20,0.043073235,0.042297258,11.7076536,92.54790038
62,388158,10538.42667,24.5,64.41097257,3.376558603,23.68959526,39,20,0.042890502,0.042106141,11.74227727,92.53212225
63,388241,10677.15917,30.9,79.62588235,0.208823529,29.56721824,39,20,0.042695148,0.041902702,11.7804662,92.52121063
64,388449,10869.86722,28,145.3101852,5.56712963,50.79435787,39,21,0.042676918,0.041883746,11.78406328,92.49387163
65,388666,11112.895,22.3,121.1356234,7.667938931,42.93025369,41,22,0.042658623,0.041864726,11.78767651,92.46535825
66,388814,11350.55222,25.2,116.8893491,0.452662722,41.48674438,41,23,0.043561694,0.042849827,11.56836609,92.44591931
67,389038,11593.8675,20.2,91.81535433,0.627952756,32.84274331,43,25,0.043525567,0.042805965,11.58408305,92.41649819
68,389268,11878.77139,26.2,120.6818792,1.147651007,41.99789664,43,26,0.043516568,0.042794971,11.58796703,92.38630138
69,389378,12004.78278,22.9,83.71622276,3.388619855,30.0041523,43,26,0.04350759,0.04278398,11.59182864,92.37186275
70,389594,12247.53083,23.2,107.8655063,1.055379747,38.87372437,44,26,0.043498635,0.042772994,11.59566632,92.3435165
71,389793,12504.97194,25.5,46.9862069,4.421960073,16.67950309,44,26,0.04348079,0.042751047,11.60326615,92.31740819
72,389903,12657.79167,22.1,89.47296296,3.681481481,32.85082926,45,26,0.043462998,0.042729123,11.61076477,92.302981
73,390097,12869.86083,22.3,136.8088889,1.403703704,48.48189926,45,27,0.043454105,0.042718161,11.61447628,92.27753669
74,390159,12963.27194,20.1,81.32463768,2.798913043,30.05414928,46,27,0.043445204,0.042707193,11.61816266,92.26940681
75,390336,13151.7025,25.8,139.7443609,0.789473684,49.45885789,46,28,0.043436284,0.042696212,11.62182414,92.24620063
76,390463,13284.81222,22,106.4794393,1.317757009,38.23383988,47,28,0.043427339,0.042685218,11.62546045,92.22955275
77,390561,13443.28139,21.1,83.59010989,2.32967033,30.76143791,47,28,0.043418364,0.042674204,11.62907117,92.21670806
78,390774,13511.79861,20.6,160.032,4.7,55.708136,47,29,0.043409354,0.042663167,11.63265609,92.18879525
79,390822,13525.99722,27.6,90.20416667,1.770833333,33.03762083,47,29,0.043400304,0.042652104,11.63621523,92.18250594
80,390938,13561.62194,23.8,89.97631579,0.059210526,32.78515789,47,29,0.043391207,0.04264101,11.63974902,92.16730806
81,391003,13643.87083,30.3,86.85,1.483552632,31.78666776,48,29,0.043382058,0.042629877,11.64325826,92.15879275
82,391201,13860.71667,29.7,90.92704403,3.163522013,30.99081321,48,29,0.043363564,0.042607463,11.65020811,92.1328575
83,391241,13936.9125,26.7,113.4538835,3.718446602,40.43809563,48,30,0.043354197,0.042596164,11.65365198,92.12761863
84,391417,14125.22917,26.7,126.1551471,7.676470588,44.78660772,48,31,0.043344738,0.04258479,11.65707735,92.10457025
85,391543,14320.49694,28.9,116.4168182,7.847727273,41.66294636,48,32,0.043331963,0.042571042,11.65972779,92.08807213
86,391731,14541.91194,26.4,110.2409207,5.186700767,39.04514655,49,32,0.043319059,0.04255719,11.66233051,92.0634595
87,391926,14808.58889,26.7,114.5779783,4.485559567,40.68535018,49,33,0.043306007,0.042543212,11.66489848,92.037935
88,392084,15022.47917,28.9,145.1666667,7.637931034,51.01738563,49,34,0.043292794,0.042529094,11.66744359,92.01725694
89,392214,15180.29944,27.3,110.8096085,5.220640569,39.28534057,49,34,0.043279409,0.042514822,11.66997654,92.0002455
90,392418,15421.78028,29.3,154.7452489,9.990950226,53.95516923,50,35,0.043265846,0.042500388,11.67250686,91.9735545
91,392503,15582.55333,27.6,89.2875,2.547297297,32.59606182,51,35,0.0432521,0.042485785,11.67504288,91.96243469
92,392655,15762.59778,31.9,97.66571429,8.817857143,35.33916429,52,35,0.043224053,0.04245606,11.68016,91.94255188
93,392781,15932.86611,29.4,87.70034843,5.592334495,32.0898892,53,35,0.043209752,0.042440934,11.6827525,91.92607213
94,392971,16131.67833,29.8,90.47317073,2.302845528,31.55488496,53,35,0.043195269,0.042425633,11.68537361,91.90122506
95,393089,16293.01611,23.5,162.8760684,2.782051282,56.63771709,53,36,0.043180605,0.042410159,11.68802679,91.88579581
96,393089,16345.84472,23.5,76.97510549,5.96835443,28.58447806,54,36,0.043165764,0.042394515,11.69071473,91.88579581
97,393209,16485.72889,25.6,78.89466667,2.5,28.90842844,54,36,0.04315075,0.042378703,11.69343951,91.87010669
98,393353,16641.76028,23.8,100.6076667,0.986666667,36.321608,55,36,0.043135568,0.042362727,11.69620262,91.85128194
99,393504,16845.19389,26.8,99.17827586,6.64137931,35.55478483,55,36,0.043120221,0.04234659,11.69900512,91.83154463
100,393693,17034.62,26.3,139.2216667,8.805555556,49.33215333,55,37,0.043104713,0.042330297,11.70184765,91.806844
101,393732,17130.24444,26.3,50.51127596,0.768545994,18.93527122,56,37,0.04308905,0.042313852,11.70473049,91.80174781
102,393835,17264.03583,32.5,83.69662447,5.141350211,30.76600549,57,37,0.043057273,0.042280521,11.71061665,91.78828863
103,393968,17409.29806,28.2,94.16485507,6.144927536,34.15357428,58,37,0.043041168,0.042263644,11.71361917,91.77091138
104,394087,17566.1325,25.9,81.6896679,3.800738007,30.07498745,59,37,0.043024926,0.042246631,11.71666051,91.75536513
105,394258,17766.77972,25.9,154.0279279,9.261261261,53.74163243,59,38,0.043008549,0.042229487,11.71973991,91.73302838
106,394293,17844.8225,26,89.51959184,7.624489796,32.78582163,60,38,0.042992043,0.042212216,11.72285644,91.728457
107,394421,18016.63806,28.4,53.43861004,2.590733591,18.36824595,60,38,0.042975411,0.042194823,11.72600911,91.71173994
108,394557,18173.97944,24.9,77.30152381,8.388571429,27.88147962,61,39,0.042941787,0.042159681,11.73241866,91.69398025
109,394682,18358.98167,28.4,79.60691244,2.048387097,29.46790783,62,39,0.042924801,0.042141941,11.73567342,91.677659
110,394777,18482.14611,33.3,119.9707143,7.142857143,43.22004643,62,40,0.042907705,0.042124093,11.73896,91.66525613
111,394919,18658.30972,24.9,82.0896,7.694,28.8307094,63,40,0.042873195,0.042088087,11.7456241,91.64671913
112,395193,19047.49917,29.6,111.7911846,10.46280992,39.88727934,64,41,0.04276736,0.041977828,11.76626088,91.61095775
113,395272,19211.72889,29.6,62.91367925,6.061320755,23.32804009,64,41,0.042749419,0.041959157,11.76978255,91.60064875
114,395439,19377.12306,36.1,94.10592105,7.375,31.91896447,64,41,0.042731402,0.04194041,11.77332474,91.57885894
115,395519,19489.46583,31.8,116.5343373,11.99548193,40.90307078,65,42,0.04271331,0.041921591,11.77688633,91.568422
116,395595,19655.25361,24.6,81.98608696,8.432608696,30.10746,66,42,0.042640267,0.041845645,11.79130485,91.55850769
117,395682,19780.62389,31.6,81.36119403,3.106343284,29.70892873,67,42,0.042434999,0.041632418,11.83195063,91.54715938
118,395810,19954.41472,28.2,157.8756098,8.103658537,54.79379024,67,43,0.042225578,0.041415031,11.87320962,91.53046481
119,395878,20048.06806,27.7,103.8809365,8.959866221,37.2196913,67,43,0.042013887,0.041195429,11.91434614,91.52159675
120,395948,20172.61056,30.3,52.4,2.125592417,19.49483175,68,43,0.041955932,0.041135347,11.92548546,91.5124685
121,396082,20383.43889,30.3,66.20360656,3.71147541,24.33570885,69,44,0.041878604,0.041055211,11.9402623,91.49499638
122,396223,20548.82167,34.4,101.615625,5.282986111,36.58843681,70,44,0.042621851,0.041826505,11.79494734,91.47661419
123,396314,20708.99056,30.1,83.8650655,6.965065502,29.96823319,70,44,0.042603379,0.041807309,11.79860307,91.46475206
124,396441,20873.0875,30,173.8247312,7.655913978,59.76960968,70,45,0.042584853,0.04178806,11.80227112,91.44819925
125,396562,21036.70583,33,131.9263158,11.65789474,46.53632915,70,47,0.042547649,0.041749409,11.80964049,91.43243063
126,396668,21219.38583,27.4,86.27751479,1.473372781,31.03979349,71,47,0.042528976,0.041730013,11.81333996,91.41861869
127,396740,21356.86944,32.2,87.65407407,1.711111111,32.00518519,71,47,0.042510259,0.041710573,11.81704808,91.40923794
128,396920,21521.41778,29.1,98.58679868,1.447194719,34.32076535,71,47,0.042491501,0.041691091,11.820764,91.38578969
129,396981,21647.19194,30.3,83.66946903,0.982300885,30.94088451,72,47,0.042472704,0.04167157,11.82448689,91.37784456
130,399263,21737.11917,32.9,108.3104396,6.129120879,39.18834286,72,47,0.042453869,0.041652012,11.82821601,91.08111356
131,399326,21853.43639,24.9,85.75061224,0.010204082,31.51084898,73,47,0.042416096,0.041612791,11.83569006,91.07293731
132,399479,22017.03611,30.9,119.3480226,1.146892655,42.89677684,73,48,0.042397161,0.041593132,11.83943361,91.05308494
133,399638,22188.25444,24.9,103.4639498,2.142633229,37.20126395,74,48,0.042378196,0.041573443,11.84318059,91.03246025
134,399781,22371.79972,28.8,84.24233577,2.118613139,30.46216533,74,48,0.042359203,0.041553726,11.84693036,91.01391656
135,399952,22553.92944,24.9,91.07520436,6.760217984,32.73471553,75,48,0.042340183,0.041533982,11.85068232,90.991749
136,400089,22737.58722,27.9,92.83950617,1.465020576,33.80075761,75,48,0.042321138,0.041514213,11.85443592,90.97399481
137,400201,22875.58917,26.3,89.14044944,1.379213483,32.32358539,75,48,0.042302069,0.041494419,11.85819059,90.95948431
138,400378,23046.7675,24.4,104.3469816,0.939632546,37.49385906,76,48,0.042282977,0.041474603,11.86194581,90.93655981
139,400547,23288.06194,24.4,115.6869159,0.289719626,41.97726729,76,49,0.042244731,0.041434907,11.86945578,90.91468013
140,400652,23396.91944,25,120.2684492,1.347593583,43.16202727,76,50,0.042206408,0.041395136,11.87696219,90.90109056
141,400796,23544.97861,27.5,102.2015038,1.191729323,36.33292406,76,50,0.042187219,0.041375224,11.88071312,90.882459
142,400947,23634.435,26.8,108.6115108,1.784172662,39.00786835,77,50,0.042168015,0.041355297,11.88446207,90.86292888
