date,vhc_totalMile,Cumulative capacity,Ambient_Temp,MeanCurrent,Temp_offset,MeanPower,deep_char,FastChgNum,Rohm,Rp,Cp,Target
1,246522,104.1425,19.3,98.55199005,2.106965174,35.25083632,1,0,0.038574833,0.03823865,12.65723536,91.30129594
2,246698,299.2777778,20.9,97.57845304,0.461325967,35.56338122,2,0,0.038522688,0.038244939,12.65407244,91.32818706
3,246963,525.3230556,20.8,118.1525253,5.304713805,42.04414916,4,1,0.038425717,0.0382018,12.68026202,91.36884025
4,247174,760.2513889,20.8,86.138,0.6975,31.640183,6,1,0.03915799,0.039127788,12.57272618,91.40134913
5,247453,981.1711111,21.3,113.113,8.1025,40.363989,8,2,0.039304581,0.039258912,12.59279985,91.444523
6,247603,1135.864167,22.9,91.95113122,0.787330317,33.69019502,9,2,0.038613577,0.038216657,12.67047861,91.46782038
7,247827,1308.738889,22.9,103.936,5.691428571,37.436744,10,2,0.038608614,0.038218069,12.66917308,91.50271888
8,248103,1520.649722,23.3,111.4414579,9.165148064,39.52279636,12,2,0.038603987,0.038219755,12.66782879,91.54588863
9,248262,1735.332222,24.5,94.25065789,4.490131579,34.61255789,12,2,0.038599664,0.038221681,12.66645833,91.57083869
10,248459,1882.673611,24.1,161.6753425,3.835616438,55.77773562,12,3,0.038595614,0.038223812,12.66507405,91.60183094
11,248492,1949.442778,25.7,99.0488,6.684,35.8768288,13,3,0.038591801,0.038226113,12.66368865,91.60703075
12,248698,2107.605833,25.7,103.3202532,6.439873418,37.24174114,14,3,0.038588189,0.038228545,12.66231495,91.63953863
13,248903,2238.061111,18.2,91.89032258,2.679032258,32.97454677,15,3,0.038584737,0.038231066,12.66096689,91.67196294
14,249161,2466.490556,21.1,97.05675676,6.440540541,35.15934757,16,4,0.038578112,0.038236172,12.65841124,91.71285269
15,249330,2601.516667,20.4,91.86862745,1.308823529,33.58477908,17,4,0.038571505,0.038241007,12.65614787,91.73967563
16,249564,2806.426944,20.4,106.5488764,4.011235955,38.44323034,18,4,0.038568075,0.038243187,12.65516392,91.77685113
17,249841,3019.974722,19.2,179.2215385,0.115384615,60.59083231,19,5,0.038564486,0.038245137,12.65429978,91.82088106
